"","COUNTY","ACRES_97","ACRES_02","ACRES_07","ACRES_12","COUNT_02","COUNT_07","COUNT_12"
"1","ADAMS",444816,444087,374133,388747,1954,1954,1921
"2","ALEXANDER",73639,NA,47626,62425,206,192,215
"3","BOND",183591,192618,224760,198339,891,962,927
"4","BOONE",144125,146940,137162,134759,740,809,767
"5","BROWN",157334,144229,151058,137523,577,615,604
"6","BUREAU",494887,491180,478389,450132,1496,1658,1497
"7","CALHOUN",100824,90355,87938,87750,676,654,690
"8","CARROLL",253632,247536,265153,256132,911,1008,958
"9","CASS",192141,198559,173543,182688,562,632,672
"10","CHAMPAIGN",571645,577066,550481,616493,1747,1998,1917
"11","CHRISTIAN",394416,410549,449512,373631,1126,1297,1213
"12","CLARK",269438,275318,238706,266804,784,818,943
"13","CLAY",241884,243154,209834,270319,914,995,1120
"14","CLINTON",236676,254629,268441,285489,1270,1470,1313
"15","COLES",259435,261138,254869,266773,946,1080,1024
"16","COOK",42174,23836,8198,8499,324,378,225
"17","CRAWFORD",210260,213661,205356,214995,753,838,806
"18","CUMBERLAND",170657,173363,144981,170149,796,896,1036
"19","DE KALB",375332,359352,370772,397771,1132,1391,1292
"20","DE WITT",206168,202699,198680,195512,640,744,775
"21","DOUGLAS",252563,232690,261513,262839,795,905,1031
"22","DU PAGE",17654,NA,7948,7252,131,177,122
"23","EDGAR",355106,355035,352535,351684,911,951,964
"24","EDWARDS",113421,123026,116690,106737,509,514,557
"25","EFFINGHAM",262144,278199,242009,287023,1607,1696,1932
"26","FAYETTE",336866,365680,303258,303140,1769,1596,1788
"27","FORD",313351,286069,270720,308181,744,789,794
"28","FRANKLIN",187485,179694,207877,181349,932,1071,1020
"29","FULTON",432129,413415,385302,355010,1518,1515,1511
"30","GALLATIN",192484,154446,185753,186250,264,303,307
"31","GREENE",330927,314772,273088,290124,956,854,1041
"32","GRUNDY",204147,213467,215474,217016,561,632,635
"33","HAMILTON",221890,234314,219873,223319,890,975,936
"34","HANCOCK",443424,431823,392898,386262,1485,1567,1616
"35","HARDIN",42455,39752,34733,33205,261,217,219
"36","HENDERSON",209478,201200,170443,171574,550,550,580
"37","HENRY",467762,481311,489903,479294,1767,2073,1944
"38","IROQUOIS",666134,678918,677803,669280,1938,2094,2041
"39","JACKSON",211945,199683,224414,214197,1003,1118,1122
"40","JASPER",256260,271329,243451,250766,1090,1255,1284
"41","JEFFERSON",237607,259294,232531,213901,1591,1584,1456
"42","JERSEY",164371,173144,189462,155483,729,772,752
"43","JO DAVIESS",293906,264493,281457,271793,1414,1558,1358
"44","JOHNSON",112138,120922,100499,89715,874,775,811
"45","KANE",215146,198227,192372,168541,903,1125,924
"46","KANKAKEE",354486,347161,385808,342637,1020,1158,1207
"47","KENDALL",169909,168082,166872,129741,560,676,570
"48","KNOX",395750,393976,362951,347597,1325,1360,1248
"49","LA SALLE",598793,579141,643291,602279,2024,2372,2259
"50","LAKE",52528,38860,34525,30039,552,628,584
"51","LAWRENCE",184426,192048,194035,184111,506,579,560
"52","LEE",404028,389037,395624,369047,1153,1312,1195
"53","LIVINGSTON",616642,636406,628502,656275,1829,1879,1916
"54","LOGAN",382492,358767,320356,363272,946,993,1084
"55","MACON",326532,320646,290603,336576,888,1060,1019
"56","MACOUPIN",406130,427173,394228,438592,1648,1667,1680
"57","MADISON",290225,295677,312936,307135,1658,1825,1632
"58","MARION",254362,261899,260679,266828,1427,1457,1569
"59","MARSHALL",231422,191323,204584,209094,613,700,638
"60","MASON",290619,285097,273362,289841,571,611,671
"61","MASSAC",109137,124597,89693,102249,608,543,567
"62","MCDONOUGH",347347,324724,307725,292044,1018,1103,1089
"63","MCHENRY",251041,233458,215584,234211,1412,1660,1477
"64","MCLEAN",704139,688063,675984,692291,2016,2172,2123
"65","MENARD",171736,155024,168594,157755,443,595,526
"66","MERCER",315382,292719,306306,251998,1053,1136,1007
"67","MONROE",190242,177430,178134,193201,738,1028,848
"68","MONTGOMERY",363392,362300,347765,382388,1367,1472,1487
"69","MORGAN",310643,292740,320512,309158,943,1062,1104
"70","MOULTRIE",175879,186478,167791,204987,602,718,802
"71","OGLE",389195,372285,366470,376422,1565,1851,1665
"72","PEORIA",272746,266280,259204,250263,1248,1281,1283
"73","PERRY",178420,193989,200354,180635,762,825,780
"74","PIATT",255913,257869,267265,259048,615,704,625
"75","PIKE",469170,425817,389808,411446,1474,1436,1410
"76","POPE",79263,76935,60809,77997,429,481,489
"77","PULASKI",86049,86289,101189,82158,353,381,327
"78","PUTNAM",76720,71265,62705,60135,245,236,266
"79","RANDOLPH",267936,253863,252926,278596,1096,1140,1133
"80","RICHLAND",200021,209273,202860,188883,651,832,790
"81","ROCK ISLAND",174258,169612,178623,149186,933,1064,988
"82","SALINE",135579,129943,117233,139854,596,708,689
"83","SANGAMON",472063,468314,518153,514043,1424,1702,1596
"84","SCHUYLER",209356,207446,207457,182093,772,832,886
"85","SCOTT",146263,115923,135731,147532,390,511,543
"86","SHELBY",425275,419814,387288,405783,1741,1734,1821
"87","ST CLAIR",267777,269820,306533,251931,1167,1324,1107
"88","STARK",182291,174311,169775,168127,485,527,494
"89","STEPHENSON",316566,324118,337932,352481,1597,1867,1715
"90","TAZEWELL",332698,327236,329268,337376,1256,1350,1306
"91","UNION",150420,152288,122362,121173,929,891,924
"92","VERMILION",486636,449964,457375,434406,1247,1445,1327
"93","WABASH",122957,110560,114361,106424,273,311,318
"94","WARREN",319297,326912,294907,338411,879,939,889
"95","WASHINGTON",312450,332286,353903,354899,1091,1156,1136
"96","WAYNE",328260,356268,333255,368518,1432,1637,1654
"97","WHITE",260199,280827,296989,310890,662,697,829
"98","WHITESIDE",392127,379366,405333,403242,1361,1628,1652
"99","WILL",300090,265490,220851,234249,1213,1384,1363
"100","WILLIAMSON",101222,105325,94124,103421,862,870,1000
"101","WINNEBAGO",198549,191455,183615,182905,986,1211,1178
"102","WOODFORD",302370,309591,288400,322983,1283,1313,1418
