"","COUNTY","ACRES_97","ACRES_02","ACRES_07","ACRES_12"
"1","ADAMS",444816,444087,374133,388747
"2","ALEXANDER",73639,NA,47626,62425
"3","BOND",183591,192618,224760,198339
"4","BOONE",144125,146940,137162,134759
"5","BROWN",157334,144229,151058,137523
"6","BUREAU",494887,491180,478389,450132
"7","CALHOUN",100824,90355,87938,87750
"8","CARROLL",253632,247536,265153,256132
"9","CASS",192141,198559,173543,182688
"10","CHAMPAIGN",571645,577066,550481,616493
"11","CHRISTIAN",394416,410549,449512,373631
"12","CLARK",269438,275318,238706,266804
"13","CLAY",241884,243154,209834,270319
"14","CLINTON",236676,254629,268441,285489
"15","COLES",259435,261138,254869,266773
"16","COOK",42174,23836,8198,8499
"17","CRAWFORD",210260,213661,205356,214995
"18","CUMBERLAND",170657,173363,144981,170149
"19","DE KALB",375332,359352,370772,397771
"20","DE WITT",206168,202699,198680,195512
"21","DOUGLAS",252563,232690,261513,262839
"22","DU PAGE",17654,NA,7948,7252
"23","EDGAR",355106,355035,352535,351684
"24","EDWARDS",113421,123026,116690,106737
"25","EFFINGHAM",262144,278199,242009,287023
"26","FAYETTE",336866,365680,303258,303140
"27","FORD",313351,286069,270720,308181
"28","FRANKLIN",187485,179694,207877,181349
"29","FULTON",432129,413415,385302,355010
"30","GALLATIN",192484,154446,185753,186250
"31","GREENE",330927,314772,273088,290124
"32","GRUNDY",204147,213467,215474,217016
"33","HAMILTON",221890,234314,219873,223319
"34","HANCOCK",443424,431823,392898,386262
"35","HARDIN",42455,39752,34733,33205
"36","HENDERSON",209478,201200,170443,171574
"37","HENRY",467762,481311,489903,479294
"38","IROQUOIS",666134,678918,677803,669280
"39","JACKSON",211945,199683,224414,214197
"40","JASPER",256260,271329,243451,250766
"41","JEFFERSON",237607,259294,232531,213901
"42","JERSEY",164371,173144,189462,155483
"43","JO DAVIESS",293906,264493,281457,271793
"44","JOHNSON",112138,120922,100499,89715
"45","KANE",215146,198227,192372,168541
"46","KANKAKEE",354486,347161,385808,342637
"47","KENDALL",169909,168082,166872,129741
"48","KNOX",395750,393976,362951,347597
"49","LA SALLE",598793,579141,643291,602279
"50","LAKE",52528,38860,34525,30039
"51","LAWRENCE",184426,192048,194035,184111
"52","LEE",404028,389037,395624,369047
"53","LIVINGSTON",616642,636406,628502,656275
"54","LOGAN",382492,358767,320356,363272
"55","MACON",326532,320646,290603,336576
"56","MACOUPIN",406130,427173,394228,438592
"57","MADISON",290225,295677,312936,307135
"58","MARION",254362,261899,260679,266828
"59","MARSHALL",231422,191323,204584,209094
"60","MASON",290619,285097,273362,289841
"61","MASSAC",109137,124597,89693,102249
"62","MCDONOUGH",347347,324724,307725,292044
"63","MCHENRY",251041,233458,215584,234211
"64","MCLEAN",704139,688063,675984,692291
"65","MENARD",171736,155024,168594,157755
"66","MERCER",315382,292719,306306,251998
"67","MONROE",190242,177430,178134,193201
"68","MONTGOMERY",363392,362300,347765,382388
"69","MORGAN",310643,292740,320512,309158
"70","MOULTRIE",175879,186478,167791,204987
"71","OGLE",389195,372285,366470,376422
"72","PEORIA",272746,266280,259204,250263
"73","PERRY",178420,193989,200354,180635
"74","PIATT",255913,257869,267265,259048
"75","PIKE",469170,425817,389808,411446
"76","POPE",79263,76935,60809,77997
"77","PULASKI",86049,86289,101189,82158
"78","PUTNAM",76720,71265,62705,60135
"79","RANDOLPH",267936,253863,252926,278596
"80","RICHLAND",200021,209273,202860,188883
"81","ROCK ISLAND",174258,169612,178623,149186
"82","SALINE",135579,129943,117233,139854
"83","SANGAMON",472063,468314,518153,514043
"84","SCHUYLER",209356,207446,207457,182093
"85","SCOTT",146263,115923,135731,147532
"86","SHELBY",425275,419814,387288,405783
"87","ST CLAIR",267777,269820,306533,251931
"88","STARK",182291,174311,169775,168127
"89","STEPHENSON",316566,324118,337932,352481
"90","TAZEWELL",332698,327236,329268,337376
"91","UNION",150420,152288,122362,121173
"92","VERMILION",486636,449964,457375,434406
"93","WABASH",122957,110560,114361,106424
"94","WARREN",319297,326912,294907,338411
"95","WASHINGTON",312450,332286,353903,354899
"96","WAYNE",328260,356268,333255,368518
"97","WHITE",260199,280827,296989,310890
"98","WHITESIDE",392127,379366,405333,403242
"99","WILL",300090,265490,220851,234249
"100","WILLIAMSON",101222,105325,94124,103421
"101","WINNEBAGO",198549,191455,183615,182905
"102","WOODFORD",302370,309591,288400,322983
